index,endTime,artistName,trackName,msPlayed,track_id,track_popularity,track_duration,track_explicit,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_time_signature,sPlayed
0,2022-08-24 09:01,Orla Gartland,Codependency,31257,0o2BJHj9wQTCb5UfY7R7jl,45.0,191881.0,True,0.805,0.606,4.0,-5.506,1.0,0.05,0.107,0.0,0.369,0.426,122.046,4.0,31.257
1,2022-09-21 00:01,The 1975,Be My Mistake,256688,18UsAG7SfOQ5sxJEdjAMH0,70.0,256687.0,False,0.572,0.155,6.0,-14.405,1.0,0.0344,0.835,0.000137,0.0906,0.0949,109.923,3.0,256.688
2,2022-09-21 00:03,Daisy the Great,IDKW,105897,488BT4GxCDKGqnK77wQWeG,35.0,105897.0,False,0.599,0.541,2.0,-6.984,1.0,0.299,0.817,0.0,0.834,0.557,129.939,4.0,105.897
3,2022-09-21 00:06,Alvvays,Dreams Tonite,196026,6TcxxINfeaBEQ35sHMldTD,63.0,196026.0,False,0.51,0.622,2.0,-5.727,1.0,0.0242,0.0108,4.11e-06,0.127,0.424,99.934,4.0,196.026
4,2022-09-21 00:09,Wasia Project,ur so pretty,132000,1Jt24MPLz6fGXSCTlXTjzF,74.0,132000.0,False,0.322,0.231,4.0,-12.919,1.0,0.0347,0.932,0.00076,0.149,0.228,91.186,3.0,132.0
5,2022-09-21 00:11,Maya Hawke,To Love a Boy,137946,46KDhb0puoTbMNui2qNBmj,54.0,137946.0,False,0.683,0.195,3.0,-13.558,0.0,0.0293,0.878,0.0187,0.0867,0.337,99.742,3.0,137.946
6,2022-09-21 00:11,girli,More Than a Friend,30964,5TIyFlLF0EfYOUZH1TYxBq,64.0,175693.0,True,0.689,0.594,0.0,-7.645,1.0,0.0584,0.0301,0.0,0.102,0.653,137.112,4.0,30.964
7,2022-09-21 00:23,girli,More Than a Friend,180602,5TIyFlLF0EfYOUZH1TYxBq,64.0,175693.0,True,0.689,0.594,0.0,-7.645,1.0,0.0584,0.0301,0.0,0.102,0.653,137.112,4.0,180.602
8,2022-09-21 00:27,Baby Queen,Colours Of You,255346,7hjPM7rlZo3netjXWOZqcT,59.0,255346.0,False,0.482,0.542,5.0,-7.932,0.0,0.034,0.598,4.78e-05,0.0975,0.251,149.916,4.0,255.346
9,2022-09-21 00:30,Tessa Violet,Bad Ideas,179173,41K8qlXVHE5cDv7eifdk4G,51.0,179173.0,False,0.786,0.523,0.0,-7.583,0.0,0.21,0.622,0.000671,0.0978,0.379,80.042,4.0,179.173
10,2022-09-21 00:34,beabadoobee,Dance with Me,234282,2sBKLT7bFa38yVAYxYltUX,64.0,234282.0,False,0.36,0.209,4.0,-10.293,1.0,0.0355,0.967,0.00326,0.153,0.227,199.95,4.0,234.282
11,2022-09-21 00:38,Orla Gartland,Why Am I Like This?,212713,1VaB7rOe1mK60C2M9dUl2Y,60.0,212713.0,False,0.63,0.423,2.0,-7.705,1.0,0.0318,0.507,2.24e-06,0.219,0.319,90.019,4.0,212.713
12,2022-09-21 00:40,Jessie Reyez,Great One,169826,1rm9z2o1PgcJHIYL6nx0VG,55.0,169826.0,False,0.559,0.507,1.0,-5.502,1.0,0.0437,0.412,0.0,0.268,0.48,81.823,4.0,169.826
13,2022-09-21 00:43,Maggie Rogers,Alaska - Toby Green Remix,185613,1S4z3fHfqPuIlWbx3fJAlp,51.0,185613.0,False,0.642,0.82,9.0,-4.548,0.0,0.0307,0.216,2.67e-06,0.131,0.521,104.018,4.0,185.613
14,2022-09-21 00:47,girl in red,girls,198400,04OSnqlwlBJMvidYccraVz,73.0,198400.0,False,0.518,0.447,5.0,-14.461,1.0,0.0338,0.23,0.0426,0.171,0.792,150.059,4.0,198.4
